aardvark
aardvarks
aardwolf
aardwolves
akita
akitas
albatross
albatrosss
alligator
alligators
alpaca
alpacas
amphibian
amphibians
anaconda
anacondas
angelfish
angelfishs
anglerfish
anglerfishs
animals
animalss
ant
anteater
anteaters
antelope
antelopes
antlion
antlions
ants
ape
apes
aphid
aphids
armadillo
armadillos
asp
asps
baboon
baboons
badger
badgers
bandicoot
bandicoots
barnacle
barnacles
barracuda
barracudas
basilisk
basilisks
bat
bats
beagle
beagles
bear
bears
beaver
beavers
bedbug
bedbugs
bee
bees
beetle
beetles
bird
birds
bison
bisons
blackbird
blackbirds
bluebird
bluebirds
boa
boar
boars
boas
bobcat
bobcats
bobolink
bobolinks
bonobo
bonobos
booby
boobys
bovid
bovids
buffalo
buffalos
bug
bugs
bulldog
bulldogs
bunny
bunnys
bushtit
bushtits
butterfly
butterflys
buzzard
buzzards
calf
calfs
camel
camels
canary
canarys
canid
canids
capybara
capybaras
cardinal
cardinals
caribou
caribous
carp
carps
cat
caterpillar
caterpillars
catfish
catfishs
cats
catshark
catsharks
cattle
cattles
centipede
centipedes
cephalopod
cephalopods
chameleon
chameleons
cheetah
cheetahs
chick
chickadee
chickadees
chicken
chickens
chicks
chimpanzee
chimpanzees
chinchilla
chinchillas
chipmunk
chipmunks
cicada
cicadas
clam
clams
clownfish
clownfishs
cobra
cobras
cockroach
cockroachs
cod
cods
collie
collies
colt
colts
condor
condors
constrictor
constrictors
coral
corals
cormorant
cormorants
cougar
cougars
cow
cows
coyote
coyotes
crab
crabs
crane
crane fly
crane flys
cranes
crawdad
crawdads
crayfish
crayfishs
cricket
crickets
crocodile
crocodiles
crow
crows
cub
cubs
cuckoo
cuckoos
dachshund
dachshunds
dalmatian
dalmatians
damselfly
damselflys
deer
deers
dingo
dingos
dinosaur
dinosaurs
dog
dogs
dolphin
dolphins
donkey
donkeys
dormouse
dormouses
dove
doves
dragon
dragonfly
dragonflys
dragons
duck
duckling
ducklings
ducks
eagle
eagles
eaglet
eaglets
earthworm
earthworms
earwig
earwigs
echidna
echidnas
eel
eels
egret
egrets
elephant
elephants
elk
elks
emu
emus
ermine
ermines
falcon
falcons
fawn
fawns
ferret
ferrets
filly
fillys
finch
finchs
firefly
fireflys
fish
fishs
flamingo
flamingos
flea
fleas
fledgling
fledglings
fly
flyingfish
flyingfishs
flys
foal
foals
fowl
fowls
fox
foxs
frog
frogs
galliform
galliforms
gamefowl
gamefowls
gayal
gayals
gazelle
gazelles
gecko
geckos
gerbil
gerbils
gibbon
gibbons
giraffe
giraffes
gnat
gnats
gnu
gnus
goat
goats
goldfinch
goldfinchs
goldfish
goldfishs
goose
gooses
gopher
gophers
gorilla
gorillas
goshawk
goshawks
gosling
goslings
grasshopper
grasshoppers
grouse
grouses
guan
guanaco
guanacos
guans
guineafowl
guineafowls
gull
gulls
guppy
guppys
haddock
haddocks
halibut
halibuts
hamster
hamsters
hare
hares
harrier
harriers
hatchling
hatchlings
hawk
hawks
hedgehog
hedgehogs
heron
herons
herring
herrings
hippo
hippopotami
hippopotamus
hippos
hookworm
hookworms
hornet
hornets
horse
horses
hound
hounds
hoverfly
hoverflys
hummingbird
hummingbirds
husky
huskys
hyena
hyenas
ibex
ibexs
iguana
iguanas
impala
impalas
insect
insects
jackal
jackals
jaguar
jaguars
jay
jays
jellyfish
jellyfishs
junglefowl
junglefowls
kangaroo
kangaroos
kestrel
kestrels
kingfisher
kingfishers
kit
kite
kites
kits
kitten
kittens
kiwi
kiwis
koala
koalas
koi
kois
kookaburra
kookaburras
krill
krills
ladybug
ladybugs
lamb
lambs
lamprey
lampreys
landfowl
landfowls
lapwing
lapwings
lark
larks
larva
larvas
leech
leechs
lemming
lemmings
lemur
lemurs
leopard
leopards
leopon
leopons
limpet
limpets
lion
lions
lizard
lizards
llama
llamas
lobster
lobsters
locust
locusts
loon
loons
louse
louses
lungfish
lungfishs
lynx
lynxs
macaw
macaws
mackerel
mackerels
maggot
maggots
magpie
magpies
mallard
mallards
mammal
mammals
manatee
manatees
mandrill
mandrills
mantis
mantiss
marlin
marlins
marmoset
marmosets
marmot
marmots
marsupial
marsupials
marten
martens
mastodon
mastodons
meadowlark
meadowlarks
meerkat
meerkats
mink
minks
minnow
minnows
mite
mites
mockingbird
mockingbirds
mole
moles
mollusk
mollusks
mongoose
mongooses
monkey
monkeys
moose
mooses
mosquito
mosquitos
moth
moths
mouse
mouses
mule
mules
muskox
muskoxs
narwhal
narwhals
nestling
nestlings
newt
newts
nightingale
nightingales
ocelot
ocelots
octopus
octopuss
opossum
opossums
orangutan
orangutans
orca
orcas
ostrich
ostrichs
otter
otters
owl
owls
ox
oxs
oyster
oysters
panda
pandas
panther
panthers
parakeet
parakeets
parrot
parrotfish
parrotfishs
parrots
partridge
partridges
peacock
peacocks
peafowl
peafowls
pelican
pelicans
penguin
penguins
perch
perchs
pheasant
pheasants
pig
pigeon
pigeons
piglet
piglets
pigs
pika
pikas
pike
pikes
pinniped
pinnipeds
pinscher
pinschers
piranha
piranhas
planarian
planarians
platypi
platypus
polliwog
polliwogs
pony
ponys
porcupine
porcupines
porpoise
porpoises
possum
possums
prawn
prawns
primate
primates
ptarmigan
ptarmigans
puffin
puffins
pug
pugs
puma
pumas
pup
pupa
pupas
puppy
puppys
pups
python
pythons
quail
quails
quelea
queleas
quokka
quokkas
rabbit
rabbits
raccoon
raccoons
ram
rams
raptor
raptors
rat
rats
rattlesnake
rattlesnakes
raven
ravens
reindeer
reindeers
reptile
reptiles
rhino
rhinoceros
rhinoceross
rhinos
roadrunner
roadrunners
robin
robins
rodent
rodents
rook
rooks
rooster
roosters
rottweiler
rottweilers
roundworm
roundworms
sailfish
sailfishs
salamander
salamanders
salmon
salmons
sandpiper
sandpipers
sardine
sardines
sawfish
sawfishs
scallop
scallops
schnauzer
schnauzers
scorpion
scorpions
seahorse
seahorses
seal
seals
shark
sharks
sheep
sheepdog
sheepdogs
sheeps
shrew
shrews
shrike
shrikes
shrimp
shrimps
silkmoth
silkmoths
silkworm
silkworms
silverfish
silverfishs
skink
skinks
skunk
skunks
sloth
sloths
slug
slugs
smelt
smelts
snail
snails
snake
snakes
snipe
snipes
sole
soles
spaniel
spaniels
sparrow
sparrows
spider
spiders
spoonbill
spoonbills
squab
squabs
squid
squids
squirrel
squirrels
stag
stags
starfish
starfishs
starling
starlings
stingray
stingrays
stoat
stoats
stork
storks
sturgeon
sturgeons
swallow
swallows
swan
swans
swift
swifts
swordfish
swordfishs
swordtail
swordtails
tadpole
tadpoles
tahr
tahrs
takin
takins
tapir
tapirs
tarantula
tarantulas
tarsier
tarsiers
termite
termites
tern
terns
terrier
terriers
thrush
thrushs
tick
ticks
tiger
tigers
tiglon
tiglons
toad
toads
tortoise
tortoises
toucan
toucans
trout
trouts
tuna
tunas
turkey
turkeys
turtle
turtles
tyrannosaurus
urial
urials
vicuna
vicunas
viper
vipers
vole
voles
vulture
vultures
wallaby
wallabys
walrus
walruss
warbler
warblers
wasp
wasps
weasel
weasels
whale
whales
whelp
whelps
whippet
whippets
whitefish
whitefishs
wildcat
wildcats
wildebeest
wildebeests
wildfowl
wildfowls
wolf
wolves
wolverine
wolverines
wombat
wombats
woodpecker
woodpeckers
worm
worms
wren
wrens
xerinae
xerinaes
yak
yaks
zebra
zebras
